id,name,detail,date,stature,school
255,247 Hsuan-tse,"Ch'an, Northern school",600,Minor philosopher,Ch'an Northern School
256,248 Shen-Hsiang,propagated Hua-yen to Japan,700,Minor philosopher,
257,249 Dharmagupta,fr. India; presided at Nalanda university,700,Non-philosopher,India
258,250 Subhakarasinha,"fr. India; tantrist, Chang-an court",700,Minor philosopher,tantrist (esoteric/magic B)
259,251 Vajrabodhi,st. Nalanda; at Chang-an; tantrist,700,Minor philosopher,tantrist (esoteric/magic B)
260,252 Chih-yen,tantrist,700,Minor philosopher,tantrist (esoteric/magic B)
261,253 I-hsing,"tantrist, math/astron; Hua-yen temple",700,Minor philosopher,mathematician
262,254 Amoghavajra,"st. Ceylon; tutor of emperors; tantrist, rainmaker",700,Minor philosopher,tantrist (esoteric/magic B)
263,255 Chih-yen,tantrist,700,Minor philosopher,tantrist (esoteric/magic B)
264,256 Wen-Ku,same,700,Minor philosopher,tantrist (esoteric/magic B)
265,257 Yen Chen-Ch'ing,mystic theses on logic of Kung-sun Lung,700,Minor philosopher,
266,258 Chang Chih-Ho,Taoist,700,Minor philosopher,Taoist magician or church leader
267,259? Kuan Yin,text by Taoist author +,700,Minor philosopher,
268,260 Ssu-ma Ch'eng-Cheng,Taoist naturalist +,700,Minor philosopher,
269,261 T'ien T'ung Hsu,same +,700,Minor philosopher,
270,262 Li Ch'uan,same +,700,Minor philosopher,
271,263 Hui-yuan,Hua-yen sectarian split,700,Minor philosopher,Hua-yen
272,264 Ch'eng-kuan,Hua-yen; refuted 263,700,Minor philosopher,Hua-yen
273,265 K'uei discussion group members,"reformers of politics, economic, lit.",700,Minor philosopher,
274,266 Han Hui,brother of Han Yu,700,Minor philosopher,
275,266a Han Chung-ch'ing,father of Han Ya,700,Minor philosopher,
276,267 Chan-jan,revived T'ien-tai; universal salvation,700,Minor philosopher,T'ien-t'ai
277,268 Tzu-min,"Pure Land, polemic vs. Hui Neng",700,Minor philosopher,Pure Land (B faith-salvation)
278,269 Tao-sui,T'ien-T'ai,700,Minor philosopher,
279,270 4 minor followers of Ch'an Northern school,,700,Minor philosopher,
280,271 Fa-chao,Pure Land; National Preceptor; Heaven/Hell doctrine; attacked universal salvation,700,Minor philosopher,Pure Land (B faith-salvation)
281,272 Nan-yiieh Huai-jang,Ch'an,700,Minor philosopher,Ch'an (Zen)
282,274 Yueh-shan Wei Yen,Ch'an,700,Minor philosopher,
283,275 T'ien-huang Tao-wu,Ch'an,700,Minor philosopher,Ch'an (Zen)
284,276 Nan-chuan Po-yuan,Ch'an,700,Minor philosopher,Ch'an (Zen)
285,277 Chao-chou,Ch'an,700,Minor philosopher,Ch'an (Zen)
286,278 Yun-yen,Ch'an,700,Minor philosopher,
287,278a Yang Liang,Confucian cm. on Hsiin Tzu,800,Minor philosopher,Confucian school
288,278b Lii Yen,"Taoist reformer, spiritual alchemy, Buddhist-style meditation",800,Non-philosopher,Taoist magician or church leader
289,279 Kuei-Shan Ling-yu,Ch'an; f. Kuei-Shan sect,800,Minor philosopher,Ch'an (Zen)
290,280 Hsueh-feng,Ch'an,800,Minor philosopher,Ch'an (Zen)
291,281 Ta-Yu,Ch'an,800,Minor philosopher,Ch'an (Zen)
292,282 Mu-chou,Ch'an,800,Minor philosopher,Ch'an (Zen)
293,283 Yang-shan Hui-chi,"Ch'an, f. Kuei-Yang sect: meditation on circular symbols",800,Minor philosopher,"Ch'an (Zen), Hua-yen"
294,284 Hsiang-yen Chih-hsien,Ch'an,800,Minor philosopher,Ch'an (Zen)
295,285 Shih-pei,Ch'an,800,Minor philosopher,Ch'an (Zen)
296,286 Ts'ao Shan Pen-Chi,"f. Ch'an Ts'ao-Tung sect; incorp. Hua-yen, doctrine of ""5 Ranks""",800,Minor philosopher,"Ch'an Ts'ao-Tung sect, Hua-yen"
297,287 Ts'ao-shan Hui-Hsia,,900,Minor philosopher,"Ch'an Ts'ao-Tung sect, Hua-yen"
298,288 Chin-feng Ts'ung-chih,,900,Minor philosopher,"Ch'an Ts'ao-Tung sect, Hua-yen"
299,289 Fa Yen,"Ch'an, f. Fa-yen sect; incl. Hua-yen",900,Minor philosopher,"Ch'an (Zen), Hua-yen"
300,290 Nan-yiian Hui-yung,1st used koan,900,Minor philosopher,Ch'an Lin-chi sect
301,291 Yung-ming,"sync. Ch'an & Pure Land, scriptures",900,Minor philosopher,Ch'an (Zen)/Pure Land/tantrist
302,292 T'ien-tai Te-shao,sync. Ch'an & T'ien-t'ai,900,Minor philosopher,"Ch'an (Zen), tantrist"
303,293 Fen-yang,,935,Minor philosopher,Ch'an Lin-chi sect/Ch'an Ts'ao-Tung sect
304,294 Ta-yang,,935,Minor philosopher,Ch'an Ts'ao-Tung sect
305,295 Chih-yuan,"Buddhist, Taoist/Confucian syncretism",935,Minor philosopher,"Buddhist, Taoist, Confucian, syncretist"
306,296 Ch'ung Fan,Taoist numerologist,935,Minor philosopher,"Taoist, numerologist/diviner"
307,297 T'an Ch'iao,Taoist naturalist +,935,Minor philosopher,
308,298 Hsing Ping,Confucian +,935,Minor philosopher,
309,299 Mu Hsin,Taoist numerologist,1000,Minor philosopher,"Taoist, numerologist/diviner"
310,300 Li Chih-tsai,numerologist,1000,Minor philosopher,numerologist/diviner
311,301 Li Kai,same,1000,Minor philosopher,numerologist/diviner
312,302 Fan O-ch'ang,same,1000,Minor philosopher,numerologist/diviner
313,303 Liu Mu,same,1000,Minor philosopher,numerologist/diviner
314,304 Shou Yai,Buddhist,1000,Minor philosopher,Buddhist
315,305 Hsueh-tou,koan compiler and poet,1000,Minor philosopher,Ch'an (Zen)
316,306 Shih-shuang,,1000,Minor philosopher,Ch'an Lin-chi sect
317,307 Yang-chi Fang-hui,f. Ch'an sect,1000,Minor philosopher,Ch'an Lin-chi sect
318,308 Huang-lung Hui-nan,f. Ch'an sect,1000,Minor philosopher,Ch'an Lin-chi sect
319,309 T'ou-tzu,"revived Ch'an Ts'ao-Tung [Soto] sect, Hua-yen",1000,Minor philosopher,"Ch'an Ts'ao-Tung sect/Ch'an Lin-chi sect, Hua-yen"
320,310 Ch'i-Sung,"Buddhist monk, Taoist/Confucian syncretism",1000,Minor philosopher,"Buddhist, Taoist, Confucian, syncretist"
321,311 Ch'eng Hsiang,father of Ch'eng brothers,1000,Minor philosopher,
322,312 Ch'eng Pen,Taoist +,1000,Minor philosopher,
323,313 Fan Chung-yen,"political reformer, orthodox Confucian",1000,Minor philosopher,Confucian politician
324,314 Ouyang Hsiu,"politician, historian, poet",1000,Minor philosopher,"Confucian poet, politician"
325,315 Sun Fu,Confucian,1000,Minor philosopher,Confucian school
326,316 Mei Yao-Ch'en,poet,1000,Non-philosopher,
327,317 Su Hsun,"poet, father of 319 and Su Shih; all in Szechuan faction, anti-reform and anti-Neo-Confucian",1000,Non-philosopher,Confucian poet
328,318 Chang Po-tuan,"f. Taoist sect, spiritual alchemy +",1000,Minor philosopher,
329,319 Su Ch'e,poet and politician; polit. tolerance,1000,Minor philosopher,"Confucian poet, politician"
330,320 Shih Chieh,"poet, anti-Buddhist and anti-Taoist",1000,Minor philosopher,"Confucian vs. Buddhist, Taoist"
331,321 Fan Tsu-yii,Confucian textual cm.,1000,Minor philosopher,Confucian school
332,322 Lu Ta-lin,moved fr. Chang Tsai school to Ch'eng school after death of Chang Tsai,1000,Minor philosopher,
333,323 Su Chi-ming,,1000,Minor philosopher,
334,324 Hou Ch'ung-liang,,1000,Minor philosopher,
335,325 Wang Fin,,1000,Minor philosopher,Neo-Confucian
336,326 Liu Hsiian,,1000,Minor philosopher,Neo-Confucian
337,327 Hsieh Liang-tso,disciple of Ch'eng brothers,1000,Minor philosopher,Neo-Confucian
338,328 Yu Tso,same; anti-Shao school polemic,1000,Minor philosopher,Neo-Confucian
339,329 Yin T'un,,1000,Minor philosopher,
340,330 Ch'i Kuan,popularized Chou Tun-i diagram,1000,Minor philosopher,
341,331 Shao Po-wen,"Shao school, rival of Ch'eng school",1100,Minor philosopher,
342,332 Ch'ao Yiieh-chin,same,1100,Minor philosopher,
343,333 Shao Po,same,1100,Minor philosopher,
344,334 Chu Chen,"numerology, cm. Yi Ching; popularized Chou Tun-i diagram",1100,Minor philosopher,numerologist/diviner
345,335 Tung-lin Ch'ang-tsung,Ch'an monk,1100,Minor philosopher,Ch'an (Zen)
346,336 Lo Ts'ung-yen,,1100,Minor philosopher,
347,337 Hu An-Kuo,"Hu school of Neo-Confucianism, rival to Chu Hsi",1100,Minor philosopher,
